dossier,fichier,Ra_bleu,Rq_bleu,K_bleu,Ra_orange,Rq_orange,K_orange,L2,L2_norm_stable,dRa,dRq,dK,periode_um,largeur_sillon_um,profondeur_um
PMMA-XVIII,ImX1Y0.xyz,2.662473602213764,3.1755117750602855,1.1295013006619423,2.7442647399356472,3.9124018372199774,1.9989757377888746,67.79643642190996,0.4161581453496839,0.029804390418907315,0.18834723344351087,0.8694744371269323,83.33333333333333,41.0,5.577773861657821
PMMA-XVIII,ImX1Y1.xyz,2.6216391965988795,3.1413801079199843,1.028315990822868,2.7871571098840104,3.9735519823013252,1.998975737788875,71.51219369477934,0.4164225150116131,0.059385928657613114,0.209427705510821,0.970659746966007,83.33333333333333,41.0,5.664953475374005
PMMA-XVIII,ImX1Y2.xyz,2.6918759987786727,3.193798320007179,1.0660514952103564,2.8061091106496616,4.000571184033395,1.9989757377888737,73.42388702566737,0.41930932926714604,0.040708720640068786,0.20166441913247582,0.9329242425785174,83.33333333333333,41.0,5.703473802133457
PMMA-XVIII,ImX2Y0.xyz,2.730487460001228,3.193530603141188,0.9662627202124314,2.788393898733503,3.975315228717238,1.9989757377888746,73.92122874493192,0.5568208345268866,0.020766950737690342,0.19665978182774646,1.0327130175764432,83.33333333333333,41.0,5.667467273848583
PMMA-XVIII,ImX2Y1.xyz,2.5329851130338046,3.0499073185468673,1.0218534706195703,2.7235513255306736,3.8828714499385297,1.9989757377888733,68.26753121639553,0.5229322265063682,0.06996975262059286,0.2145227165336234,0.977122267169303,83.33333333333333,41.0,5.535673425875353
PMMA-XVIII,ImX2Y2.xyz,3.32763350262139,3.7656300209482243,1.0878083961075442,3.070025762664034,4.376827883756247,1.9989757377888737,83.48096413517821,0.43237260728944543,0.0839106117903764,0.13964402508866433,0.9111673416813295,83.33333333333333,41.0,6.239889761512264
PMMA-XX,ImX0Y0.xyz,7.503328405239196,9.080575357724308,1.526296468943788,7.451499902182974,10.569769236589522,1.9998559948158134,115.1506974711551,0.24708859437720987,0.00695544571382715,0.14089180620046554,0.47355952587202554,142.85714285714286,71.0,14.99295754966393
PMMA-XX,ImX0Y1.xyz,7.734201404342949,9.24684122355491,1.47590786974232,7.559130315816999,10.722440329642485,1.9998559948158132,120.11196756960621,0.2558221346551505,0.023160215687726006,0.13761784264802485,0.5239481250734932,142.85714285714286,71.0,15.20951773806237
PMMA-XX,ImX1Y0.xyz,6.970399476111004,8.697745494703778,1.5269678723822118,7.298586942603509,10.352865966475354,1.9998559948158128,119.71877171305879,0.25994043264597216,0.04496589121612022,0.1598707524207487,0.472888122433601,142.85714285714286,71.0,14.685285598799815
PMMA-XX,ImX1Y1.xyz,7.250269470925532,8.922620665645734,1.51419914358097,7.447018154664812,10.563411988026754,1.9998559948158134,123.01008044879997,0.2627381468257026,0.026419793755442546,0.15532777896391786,0.48565685123484337,142.85714285714286,71.0,14.983939949023767
